1.0000000	 0.0000000
0.9500100	 0.0063352
0.9000300	 0.0129500
0.8000600	 0.0271852
0.7000900	 0.0424603
0.6001200	 0.0576697
0.5001500	 0.0709555
0.4001600	 0.0798800
0.3001700	 0.0816612
0.2001500	 0.0734821
0.1501300	 0.0648150
0.1001100	 0.0525766
0.0750900	 0.0448789
0.0500700	 0.0358000
0.0250500	 0.0244819
0.0125300	 0.0169487
0.0000000	 0.0000000
0.0124800	-0.0082914	
0.0249800	-0.0102885	
0.0499800	-0.0110000	
0.0749800	-0.0098960	
0.0999800	-0.0080823	
0.1499900	-0.0041100	
0.2000000	-0.0009570	
0.3000000	 0.0012857
0.4000000	-0.0009200	
0.4999900	-0.0051669	
0.5999800	-0.0093932	
0.6999700	-0.0123299	
0.7999700	-0.0130802	
0.8999800	-0.0101400	
0.9499900	-0.0063131	
1.0000000	 -0.0000000
